probe,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
39254,3.706080838,3.748014823,3.623952683,3.766140262,3.613333088,3.689035789,2.923831713,2.695234114,2.677966,2.980378506,2.558681981,2.770642863,2.740408361,2.601445676,2.555300114,2.615623033,2.816790235,2.529669669,2.472419747,2.423945052,2.367704033,2.433854109,2.446018505,2.499354368
39313,3.274783875,3.283411561,3.105990709,3.106997284,3.238209575,3.16494661,3.631233361,3.396977418,3.299406079,3.533713424,3.435755778,3.448692969,4.276035657,4.525492794,4.435319575,4.473763489,4.351239572,4.196046998,4.714178919,4.643281534,4.610947856,4.554608317,4.624111842,4.525179334
39314,3.898884032,3.934462144,3.890319973,3.874639376,3.909057251,3.784754685,2.496420049,2.620809622,2.514866884,2.423329756,2.408063457,2.518557799,4.521808297,4.757930213,4.489777629,4.567017278,4.567871202,4.643424701,6.398280251,6.648788063,6.421897656,6.46387234,6.573655681,6.30480905
39326,5.074453229,5.046153266,4.862525804,4.850547083,4.881054105,4.888136059,6.218206135,6.080846116,5.968080963,6.066078045,6.020909873,6.181038577,3.299988455,3.396975802,3.114703744,3.365227931,3.333195046,3.231045529,2.647183443,2.686243168,2.628195696,2.530726451,2.69035797,2.599529851
39346,2.898974183,2.632236389,2.41521428,2.633566214,2.782657961,2.650546082,4.03433329,3.918202983,3.782225993,3.931987761,3.96327684,3.850202978,2.091859267,2.372086669,2.092578253,1.970362894,2.208406383,1.991629336,1.877501546,1.923204787,1.864194753,1.62134344,1.928881182,1.940181578
39372,2.475639564,2.534197979,2.517829038,2.563664224,2.408452645,2.621342493,2.863471826,2.55878519,2.894252228,2.888511721,2.642887559,2.863180287,3.236560278,2.980792943,3.044638126,3.285215126,3.282807468,3.247435909,3.323794967,3.443325048,3.465852362,3.525942274,3.616694281,3.586294146
39373,1.667020618,1.349984322,1.625662473,1.585706116,1.510381167,1.470278916,1.856992162,1.861477599,1.764845489,1.889592678,1.847070667,1.898792468,2.302580081,2.472487216,2.439707851,2.647919095,2.691261283,2.504259308,2.978731372,2.960638922,2.915402603,2.96616622,3.014821715,3.201184363
39384,2.095593808,2.050257484,2.019245799,2.090578697,2.069560692,2.10012381,3.982722162,3.811773034,3.656193826,3.943656821,3.804609204,3.810828213,3.359604256,3.604907687,3.387923885,3.557434428,3.580772961,3.241323809,2.275952585,2.310153012,2.45458733,2.510409496,2.719829486,2.431262679
39385,1.790822644,1.645239289,1.762744013,1.587429189,1.816234556,1.957694913,3.039256477,2.672472621,2.90289462,2.864500473,2.938745071,3.015827207,2.617842061,2.810956083,2.598162338,2.594558446,2.868238291,2.884796928,1.88200185,2.037424119,2.162996341,2.087189101,2.039405619,1.949083305
39435,3.762846546,3.631250518,3.669018869,4.001168341,3.774111205,3.854241873,2.76447535,2.744481703,2.816119606,2.708847395,2.643205254,2.835892426,3.463967207,3.367088543,3.501512202,3.463756157,3.562106866,3.417347961,3.298421632,3.458318635,3.424876954,3.534284955,3.373983035,3.221442814
39474,3.133165524,3.168485277,3.255543089,2.900876599,3.034568834,3.198206349,2.77237565,2.533157317,2.543919657,2.577666474,2.341389507,2.627784475,2.195785967,2.10545453,2.066603924,2.129732694,2.171792373,2.020899016,2.110769293,2.2711763,2.088878974,2.137755176,2.092424242,2.152832678
39475,3.025450034,2.895948192,2.779823163,2.91592053,3.115180717,2.984872006,2.607199119,2.441378105,2.695441149,2.624525043,2.52415163,2.73358228,2.20215773,2.128233302,1.977431166,2.178286757,2.234193707,2.11284709,2.358497831,2.22053435,2.298262938,2.192273365,2.283976689,2.267842479
39493,4.003914331,3.97515928,3.83852993,3.608228998,3.770493534,3.675617954,3.051951172,3.104321263,2.937687761,2.841848988,2.79604836,2.972270058,5.340886355,5.70625938,5.443631711,5.411901737,5.330999144,5.32401277,5.970511459,6.189871037,5.918525702,5.842535031,5.940319418,5.954944931
39514,3.312547038,3.35097173,2.976652064,3.391032092,3.327873502,3.331394711,4.17301796,4.12839741,3.845931379,4.074465352,4.190251844,4.060693689,2.282599008,2.177694719,2.138347003,2.255763462,2.204799178,1.992995092,1.865189218,1.813166259,1.921829486,2.070057492,1.708267487,1.75804661
39534,3.829340404,3.852689288,3.620760212,3.816328625,3.668926851,3.71812073,4.926350856,4.678807359,4.600924594,4.828372369,4.583281691,4.598266534,2.630426814,2.674250166,2.659766531,2.609378427,2.599304037,2.545794989,2.124820166,2.109611645,2.01903571,2.056180016,2.210657586,2.201829685
39554,6.257468273,6.221149907,6.059670705,6.272053321,6.098425747,6.226518858,7.353596609,7.307207083,7.346397089,7.426389379,7.121456148,7.271652884,4.086675575,4.316530271,3.80149138,3.836196342,4.321446571,4.022018162,2.895835249,2.897466982,2.970026373,2.81517984,2.622779443,2.750736753
39555,4.800573173,4.804366838,4.791391163,4.840878986,4.858487404,4.940576052,6.14260209,6.054680879,5.977742883,6.18228578,6.034158838,5.982033293,2.975253994,3.154858215,3.003506551,3.105503172,3.192765562,3.068203138,2.377822204,2.251084437,2.275353933,2.264442512,2.266018684,2.292683355
39558,4.603510108,4.4245148,4.280350162,4.349466151,4.488715186,4.40559924,3.964395274,3.603874826,3.500685204,3.688918329,3.764785179,3.789646976,3.217321451,3.343779576,2.945430469,3.217522797,3.313928368,3.008662654,3.578855499,3.616375579,3.613174006,3.533226292,3.492521527,3.644262353
39565,1.663520126,1.609117607,1.703783384,1.733550581,1.668678252,1.634641392,1.81466797,1.59544021,1.801124434,1.864014532,1.870791808,1.727112864,2.000166822,2.163763963,2.128857435,2.196711724,2.047457044,1.783837273,2.314162103,2.29469779,2.211793786,2.320506551,2.256086548,2.184881228
39587,2.518581496,2.354273765,2.482936027,2.338394149,2.615363631,2.475295968,2.637428391,2.81522582,2.464981258,2.661994773,2.646958004,2.672773902,4.174565747,4.169821132,3.973347075,4.467736121,3.985699985,3.981366236,3.95116867,4.007281526,3.955544318,3.80738424,3.866938799,3.742189092
39656,3.720326186,3.617247219,3.372102221,3.486007013,3.413594653,3.582614918,2.701371438,2.500809723,2.737559229,2.682897543,2.552050062,2.768220501,3.978299993,4.204638056,3.975228148,4.074738094,4.153045958,4.06242947,3.901442506,4.145097743,4.079960146,4.199732291,4.245311405,4.034246613
39665,4.704292596,4.604028726,4.459732922,4.796319362,4.691895035,4.525498249,4.445401904,4.105414566,4.043510102,4.678397789,4.288240811,4.325948007,3.522514111,3.546531282,3.467287331,3.643912215,3.575806077,3.53351577,3.379844545,3.453337486,3.347886448,3.815197134,3.547246768,3.245517298
39686,2.744982995,2.680061229,2.5190694,2.861652108,2.638063929,2.78889404,2.235738554,2.457608661,2.528586256,2.285832659,2.310973425,2.432916295,4.41838344,4.6581231,4.339642213,4.457123748,4.465449595,4.495351961,5.119747755,5.253925211,4.994289774,5.091824588,5.158941217,5.00181102
39687,4.782848665,4.766054509,4.715503748,4.887663996,4.570594413,4.781555701,5.186824671,4.863932681,4.830136056,5.105813741,4.872021585,5.062259584,3.695478592,3.837342366,3.747811276,3.567330552,3.903266964,3.709573016,3.660764829,3.703103298,3.58903415,3.281355871,3.402728406,3.322758105
39694,2.221086315,2.270115051,2.208134654,2.371631729,2.234660352,2.453069053,1.999559065,2.011118175,2.069972537,1.975031379,1.946735843,1.967513877,2.614398898,2.697360446,2.722428283,2.639445732,2.701692733,2.670147253,3.003171722,3.224535846,3.134964435,3.149185896,3.182874068,3.182996889
39696,2.781250653,2.689054432,2.874789492,2.807721288,2.608720017,2.742379863,4.21952268,3.929312045,4.00415676,3.981409796,3.858406291,4.047602179,3.702420572,3.956825682,3.665057865,3.602795153,3.969758325,3.710096638,2.995708965,3.194007532,3.198437329,2.897990078,2.987198799,3.034211443
39729,2.425200268,2.212929652,2.257318575,2.3844325,2.234021867,2.362609758,2.595794139,2.364611613,2.596963706,2.628430606,2.582694771,2.578836329,2.722080069,2.764709157,2.94163273,2.912995809,2.959958519,2.851709561,3.388545081,3.321706334,3.186636908,3.386846509,3.510354103,3.666064808
39735,6.007087601,5.862174266,5.710858697,5.845422386,5.801959042,5.768972678,4.086524445,3.974340188,3.855431692,3.982977824,4.003911233,4.046790348,5.413120305,5.632813922,5.258564623,5.444503132,5.523164258,5.470198084,4.423288844,4.662564482,4.4102302,4.504739487,4.605165686,4.414107013
39773,2.250069174,2.059862798,2.197377307,1.782929178,2.081816572,2.077752763,2.829180045,2.75812692,2.696957107,2.745754331,2.624593849,2.77664852,2.851989276,3.098721534,2.831363817,2.994616855,2.853014722,3.022358104,2.569322817,2.758566094,2.690481511,2.494694632,2.525462491,2.55008762
39810,4.432676462,4.198096503,4.212969292,4.445166517,4.333828745,4.414169663,4.868168335,4.670914946,4.716866765,4.899393551,4.658734858,4.778341717,5.496171704,5.978723912,5.622829267,5.721282561,5.923991916,5.714576253,5.702263,5.7399786,5.710930501,5.517443797,5.767279091,5.661719054
39820,2.837969976,3.171584321,2.92563438,2.967190038,2.626972173,3.06397305,4.041006647,4.019806359,3.990953643,4.071513534,3.832048524,4.008583042,2.612580115,2.804990147,2.642294819,2.52401502,2.612948049,2.624532532,2.665835936,2.658554139,2.557957432,2.391778207,2.448447954,2.526312503
39826,5.887338044,5.967312601,5.793391627,5.857467951,5.754218037,6.154418118,5.960953937,5.938040334,5.676102625,5.60688618,5.583485873,5.792533121,4.365387553,4.540195599,4.43945355,4.194748956,4.688968292,4.453695702,4.364695485,4.513196835,4.432066255,4.352460236,4.311673558,4.320961531
39875,3.41344031,3.431602866,3.5246384,3.737036837,3.458574734,3.509575424,4.367715305,4.317726725,4.226675373,4.653611359,4.182370624,4.351807502,2.484739251,2.581646576,2.543887817,2.692476963,2.673667317,2.654228869,2.615937443,2.85038152,2.914935908,2.685068816,2.58848409,2.672440439
39877,4.073131267,4.111783904,3.89062575,4.224596753,3.963883045,4.127127166,4.770771172,4.661488044,4.817745987,4.964063625,4.528775317,4.780327001,2.715127993,2.633791235,2.635035264,2.531605924,2.650313302,2.615798514,2.256708294,2.231499195,2.192108698,2.362623711,2.265758392,2.156794865
39878,6.654469988,6.797044847,6.601442935,6.881715155,6.790257842,6.734978245,7.578128843,7.345625832,7.407547985,7.487923353,7.463124675,7.39831959,4.706061912,4.751240306,4.490931646,4.673134002,4.728719356,4.729341949,3.75032017,3.775888732,3.86484554,3.770257713,3.81933554,3.702812025
39880,3.106761292,2.960120828,2.965537407,2.793809006,2.761993326,2.978595765,4.002829296,4.09099185,3.959398147,3.549247317,3.54629717,4.076084259,2.678450423,2.996733948,2.687813249,2.49644362,2.930415478,2.961400983,2.913202521,3.167508451,3.122262134,2.879971019,3.080064822,2.91539197
39890,3.584121587,3.758390282,3.732605694,3.858788481,3.853686475,3.679668264,3.768529925,3.74132569,3.683797199,3.748131814,3.759031322,3.791576637,2.847917057,2.888281901,2.849044232,2.825317238,2.812852802,2.863087214,2.873307214,2.834167352,2.721077703,2.810137552,2.889002757,2.760496407
39892,3.304670145,3.3816917,3.252742646,3.347014103,3.235957488,3.254364444,4.305365115,4.023861808,4.048061736,4.149467807,4.056422287,4.124941471,2.005374293,2.354741799,2.158139558,2.133202606,2.25239794,2.124796281,1.976371793,2.100493861,2.044622544,1.919876907,2.089599387,2.021846943
39908,5.268545282,5.268259082,5.201635098,5.334306149,5.390630591,5.260281946,3.973385718,3.859470563,3.844984261,3.815699773,3.7887375,3.82232716,3.432528027,3.608424739,3.414368456,3.469342732,3.498428835,3.356088895,3.130895653,3.194286343,3.070007928,3.153548927,3.065182749,3.16870359
39914,3.595167014,3.407055076,3.449491931,3.02055317,3.256181593,3.265516856,4.988845756,4.489819685,4.58730642,4.689029547,4.758658918,4.66465973,2.943704033,2.964648288,2.816072883,3.154875438,3.011132077,2.809367317,2.662833383,2.745289059,2.847765901,2.504734337,2.642876373,2.615927346
