probe,0,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
44136,ILMN_3122437,1.962476595,1.976192828,2.0889379,2.022954255,1.91934636,2.155661729,2.442872415,2.595150133,2.512781079,2.325603537,2.431389283,2.625672718,1.776490908,2.005396359,1.843037714,1.835735804,1.694637967,1.779322804,1.777810947,1.666448739,1.779336968,1.964616626,1.902671762,1.808324802
44138,ILMN_3122845,1.844208025,1.922874455,1.595434587,1.890399202,1.915494136,1.756559766,2.495534198,2.108541022,2.340736575,2.553754369,2.292987464,2.421370048,1.819138874,1.524696231,1.643444505,1.816820635,1.755254382,1.61024484,1.686126472,1.601254403,1.575776339,1.832231185,1.626280016,1.538975603
44139,ILMN_3122864,4.265849614,4.355078995,4.078471531,4.666394623,4.348121492,4.379159149,5.309336788,4.945143574,4.950172362,5.362115953,5.131364565,5.077388904,4.424916454,4.524039232,4.25685521,4.756738572,4.524207215,4.379107539,4.68689179,4.60215468,4.581203119,4.746347893,4.560688205,4.488436511
44140,ILMN_3122885,2.292268887,2.616851743,2.627333725,2.685592783,2.436404398,2.462375691,2.207033222,2.141736343,2.176768676,2.072805276,2.066501266,1.92897036,2.92284209,3.100575939,3.060886076,2.889345195,3.113007854,2.974578344,3.013673125,3.057968605,3.190523069,2.877713688,3.095927773,2.92023979
44143,ILMN_3122961,3.933653771,3.834763387,3.496575637,3.804401583,3.968436605,3.598969058,6.253847997,6.050537629,5.943788605,6.229123729,6.186224828,5.99790153,6.647283304,6.704799311,6.393620576,6.904097932,6.528031924,6.459513845,5.214666251,5.342262938,5.07782831,5.372332309,5.252855563,5.277175481
44144,ILMN_3123043,1.787553482,1.669971704,1.81581143,1.651205005,1.665263193,1.717469234,1.542623182,1.815147384,1.710739891,1.466795754,1.666668816,1.682180755,2.471870435,2.585408354,2.428228575,2.282802729,2.398670418,2.324466331,2.153657715,2.311282634,2.251367883,2.253202319,2.237119489,2.179477739
44148,ILMN_3123303,3.988217891,3.772071417,3.681807247,3.962043243,4.053388164,3.961884269,4.95362023,4.629062054,4.801602266,4.753268319,4.721260462,4.8054906,4.815948455,4.860162212,4.669799324,4.70308202,4.729309364,4.745772878,4.655917379,4.616562031,4.475354269,4.539125235,4.646132492,4.516329677
44152,ILMN_3123473,5.600632443,5.566232574,5.357133525,5.396735866,5.315306195,5.246876385,5.452324625,5.144204924,5.334225599,5.143746914,5.068870543,5.318179044,3.90487196,4.152856465,3.71361105,3.787259889,3.961924795,3.984714823,3.34622367,3.472378669,3.389505264,3.354399896,3.54109944,3.393124633
44153,ILMN_3123491,2.769992105,2.716562874,2.355954342,2.449314912,2.409179303,2.622271371,2.577292866,2.973800552,2.781230444,2.543007253,2.364140024,2.46957023,2.779553296,3.089238423,2.926791874,2.726144662,2.879233835,2.880713071,2.730907049,2.864687091,2.899347481,2.597861227,2.823123819,2.937917004
44154,ILMN_3123657,3.988410295,3.882019034,3.838569175,3.744584634,3.940113339,3.890021854,4.572265017,4.582852034,4.441360704,4.444175671,4.550684427,4.483100006,3.583318398,3.683633879,3.492143122,3.684555751,3.572544202,3.700816536,3.4834246,3.648730913,3.576762097,3.331438385,3.429638258,3.421560648
44165,ILMN_3124083,1.686644487,1.821872095,1.708613979,1.648926862,1.666052228,1.64648422,1.848466725,1.791532287,1.730545056,1.812942434,1.786165898,1.84038661,1.943450412,1.986839257,1.979097415,2.149351104,2.079709772,2.073731191,1.747936303,1.957147875,1.91232409,1.881945231,1.974941029,1.802489148
44173,ILMN_3124528,5.981936709,6.036811789,5.998560042,6.398526953,6.06881116,6.125297994,5.131581504,5.025082163,5.2459823,5.393981197,5.073693911,5.121989316,6.243090589,6.326716527,6.181331702,6.504828312,6.306674958,6.294446221,6.811637315,6.749314303,6.777645624,6.97817881,6.788442257,6.698793264
44174,ILMN_3124547,2.907446548,2.812895679,2.650789707,2.832392792,2.950782706,2.662729853,2.364681829,2.399762187,2.375926095,2.361329392,2.389154348,2.436914511,3.382195596,3.513525418,3.364692178,3.538128234,3.462417176,3.155247323,3.458722013,3.380259181,3.223468959,3.534662441,3.450309893,3.440474677
44179,ILMN_3124885,3.9100066,3.888859255,3.9657485,4.02274766,3.679611967,4.15579823,4.32762539,4.172106277,3.878615335,4.20856254,3.90925585,3.838318406,3.334055566,3.37091395,3.223001838,3.224037924,3.186122724,3.121810752,2.96872992,2.867908572,3.051922221,2.602115351,2.748966771,3.882639221
44185,ILMN_3125363,5.894923824,5.962219378,5.874891867,6.263447131,6.139537043,6.073548127,6.437356573,6.278733886,6.211408742,6.490653813,6.433010143,6.26809628,4.451442357,4.595957734,4.465626919,4.589847312,4.556084539,4.525350917,4.579473396,4.70061301,4.733634297,4.801660361,4.646250075,4.501717184
44197,ILMN_3125920,4.156515893,4.461179034,4.266567972,4.475741255,4.471267452,4.485431807,4.365585497,4.270475005,4.314713757,4.494093963,4.288422029,4.288214681,3.502371941,3.523781488,3.457371722,3.59223372,3.717598272,3.617593417,3.696368019,3.936682618,3.790863388,3.764286683,3.715458625,3.792954917
44208,ILMN_3126848,2.562593894,2.358284519,2.51993476,2.547507486,2.43478114,2.526604038,2.602573248,2.526628147,2.778520271,2.455662822,2.268390861,2.783747874,2.806772932,2.786656576,2.782579856,2.735862817,2.703188607,2.642990289,2.886691693,2.761372081,3.096508795,2.662137604,2.87198545,2.877811439
44221,ILMN_3127411,2.010743317,1.937868189,1.961233541,1.992189501,1.986144393,1.973512978,2.384910847,2.145836392,2.170504755,2.074316788,2.080104578,2.135608783,2.216656856,2.319693242,2.279250371,2.164178498,2.332693497,2.26655185,2.294412134,2.438106121,2.48175195,2.199391765,2.514315628,2.372945912
44227,ILMN_3127704,3.68644598,3.558622066,3.620973575,3.60237349,3.684326713,3.399208231,4.013715251,3.802413641,3.845415842,4.147522948,4.000908272,3.989888758,3.257552112,3.477539867,3.334715985,3.278500745,3.292078112,3.384363776,3.333747342,3.381947554,3.27022816,3.54574876,3.333465772,3.267825688
44228,ILMN_3127739,2.328113869,2.327362958,2.471249069,2.368461808,2.41040445,2.679222693,3.602673156,3.623521396,3.603363364,3.663911599,3.616668217,3.400943536,2.75602522,2.948505837,2.772071053,2.848893432,2.925751306,2.912178527,3.05364702,2.918608359,3.019943058,3.059267661,3.193091099,3.258857858
44230,ILMN_3127932,3.178423202,3.260798383,3.096701661,3.00152991,3.156275092,3.113592686,3.058724635,2.873824005,2.718733563,3.046183682,3.192778134,2.809312176,3.800091461,3.77086475,3.381711247,3.932906458,3.693744312,3.669288133,3.695401618,3.811065569,3.648168994,3.426602124,3.699916424,3.647052193
