,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
36983,8.572112358,8.39645982,8.336852094,8.30393907,8.352146931,8.198646583,7.936095931,7.687352147,7.567723701,7.679102141,7.666223871,7.693043106,3.636531563,3.888250854,3.580485029,3.717451147,3.858948192,3.711815035,3.752322534,3.880463615,3.730645689,3.673262878,3.967099072,3.616805811
37100,4.954042419,5.014586194,4.797332066,5.109435005,4.86955571,5.082970978,3.474016663,3.451474445,3.391344447,3.453629294,3.294930982,3.480134903,2.462436236,2.363045309,2.415217252,2.28616782,2.396026744,2.531842382,2.149846707,2.011884111,2.111569766,2.128526969,2.159297184,2.034971185
37691,5.641221471,6.143039037,5.932993835,6.144174656,5.606138975,6.212811516,6.123047991,6.142576054,6.154140807,6.415664812,5.8767618,6.143785811,2.917735455,3.099359321,3.024030714,2.762484003,3.032825512,2.962773378,2.855068863,2.778686668,2.940455082,2.814604017,2.90933385,2.992197234
38808,7.704832653,7.679157034,7.393523366,7.604068583,7.466640974,7.642764874,6.986139789,6.526188414,6.554006121,6.874702929,6.923248291,6.682562661,2.811402013,2.878038185,2.880069584,2.892735843,2.788513441,2.710924439,2.788272542,2.924980013,2.830777558,2.712136341,2.916501319,3.004492215
40623,4.667945545,4.835057007,4.766761614,5.112361816,4.977453924,4.790376566,4.779186414,4.723691213,4.673255746,4.92790669,4.631417525,4.795603166,1.925185011,1.953660202,2.029053257,2.129205779,1.993899498,1.986104664,1.875487007,1.923580766,1.97835261,2.02758171,1.807968357,1.876452496
41816,1.769812546,1.760050637,1.712224693,1.768940737,1.804102318,1.823418878,3.438485885,3.447838518,3.244692606,3.433236802,3.553608029,3.358238354,4.610267845,4.771294335,4.404855803,4.709214924,4.617738305,4.521807683,5.305945812,5.484421514,5.321623366,5.235729765,5.409375086,5.217740186
42206,2.871350838,2.860998488,2.843473398,2.520154168,2.617810299,2.644841198,5.98186886,5.685985983,5.572559798,5.567889417,5.747475574,5.789787523,5.696597562,6.035436308,5.549087677,6.086892335,5.833361828,5.712484001,4.00670306,4.127200111,3.913095827,3.819098964,3.951203729,3.923435205
42207,2.723113658,2.544720166,2.496946208,2.554764199,2.571341062,2.541040567,5.542651817,5.100825426,4.970245163,5.174501825,5.044134328,5.187808666,5.122343045,5.426970201,4.740529923,5.32729338,5.174638012,5.111638406,3.536518264,3.679514977,3.599757366,3.427235222,3.584325417,3.658088013
42223,6.409336631,6.755827415,6.769306889,6.843165279,6.45198938,6.907775012,6.894458626,6.964643486,6.872768918,7.055189325,6.750402112,6.937607464,3.073548189,3.205450174,3.013927719,3.12615812,2.965639584,2.923978089,2.350933616,2.164066588,2.264401552,2.324362532,2.293495743,2.321290706
44010,5.221738898,5.266479179,5.102591184,5.46310162,5.48791941,5.009575616,3.975282501,3.879693732,3.903421023,4.254448258,4.018673181,3.937744732,2.179879256,2.133576926,2.252779579,2.375552065,2.131494323,2.158949648,1.711225267,1.765261225,1.573407059,1.962453207,1.6552808,1.692537011
44830,5.972418264,6.149388534,5.865617,6.148406142,6.129433491,5.924158023,4.47202785,4.351515086,4.370649656,4.724178876,4.626419419,4.539623615,3.086584499,3.146126205,2.869595358,2.924351055,2.900105123,3.014267688,2.697048683,2.694781498,2.733233882,2.770914009,2.724633275,2.604613453
